,System,Simp_text
25,SBMT-SARI,"On October 14, 1960, presidential candidate John F. Kennedy proposed the concept of what is now the Peace Corps on the steps of Michigan Union.
"
26,SBMT-SARI,"She made for President Reagan in 1988 the Great shows at the White House series, which aired on the Public Broadcasting Service.
"
27,SBMT-SARI,"Perry Saturn (with Terri) beat Eddie Guerrero (with Chyna) to win the WWF European league (8:10) Saturn pinned Guerrero after a diving elbow drop.
"
28,SBMT-SARI,"She is still in the United States until 1927 when she and her husband to return to France.
"
29,SBMT-SARI,"Despina was found at the end of July, 1989 from the images taken by the Voyager 2 probe.
"
30,SBMT-SARI,"The first Italian Grand Prix motor racing open took place on 4 September 1921 at Brescia.
"
31,SBMT-SARI,"He also carried out two collections of short stories entitled The Ribbajack & other interesting yarns and Seven Strange and Ghostly Tales.
"
32,SBMT-SARI,"At the Voyager 2 images Ophelia seems as an elongated object, the main axis show up on Uranus.
"
33,SBMT-SARI,"The British decided to remove him and take the land by force.
"
34,SBMT-SARI,"Some towns on the Eyre Highway in the south east corner of Western Australia, between the South Australian border almost as much as Caiguna, don't follow official Western Australia time.
"
35,SBMT-SARI,"In building Award small pieces of colored and iridescent shell have been used to create tiles and inlays, which have been used to decorate walls, furniture and boxes.
"
36,SBMT-SARI,"The other set up cities on the Palos Verdes Peninsula include Rancho Palos Verdes, Rolling Hills Estates and Rolling Hills.
"
37,SBMT-SARI,"Fearing that Drek will blow up the galaxy, Clank asks Ratchet to help him find the famous superhero Captain Qwark, in an attempt to stop Drek.
"
38,SBMT-SARI,"It is not in fact a true louse.
"
39,SBMT-SARI,"He advocates using a user-centered design process in product development cycles and also works for popularizing trade design as a whole field.
"
40,SBMT-SARI,"It is possible in theory that the other editors who may have told you, and the manager who blocked you, are part of a plot against a man half a world away they've never met in person.
"
41,SBMT-SARI,"Working Group I: assesses science aspects of the climate system and climate change.
"
42,SBMT-SARI,"The island chain is part of the Hebrides, cut off from the Scottish mainland and from the Inner Hebrides by the stormy waters of the Minch, the Little Minch and the Sea of the Hebrides.
"
43,SBMT-SARI,"Orton and his wife welcome Alanna Marie Orton on July 12, 2008.
"
44,SBMT-SARI,"Formal minor planet names are number-name schemes overseen by the Minor Planet Center, a branch of the IAU.
"
45,SBMT-SARI,"By early on Sept. 30, wind shear began to rise sharply and a weakening trend began.
"
46,SBMT-SARI,"Each entry has a date (a nugget of data) which is a copy of the date in some support store.
"
47,SBMT-SARI,"As a result, while many mosques will not meet the breach, both men and women when go to a mosque must meet these guidelines.
"
48,SBMT-SARI,"Mariel of Redwall is a fantasy novel by Brian Jacques, published in 1991.
"
49,SBMT-SARI,"Ryan Prosser (born 10 July, 1988) is a pro rugby union player for Bristol Rugby in the Guinness Premiership.
"
50,SBMT-SARI,"Like the assessment reports, it is made up of four reports, three of them from its work groups.
"
51,SBMT-SARI,"Their little girl Hélène Langevin-Joliot is a professor of nuclear physics at the University of Paris, and their grandson Pierre Joliot, who was named after Pierre Curie, is a noted biochemist.
"
52,SBMT-SARI,"This stamp is still the standard letter stamp for the rest of Victoria's reign, and vast sums were printed.
"
53,SBMT-SARI,"The global Fight League was an American mixed martial arts (MMA) promotion billed as the world's first MMA league.
"
54,SBMT-SARI,"Giardia lamblia (equal with Lamblia intestinalis and Giardia duodenalis) is a flagellated protozoan parasite that colonises and breeds in the gut, causing giardiasis.
"
55,SBMT-SARI,"In addition to this, Cameron has often worked in Christian-themed films, among them the post-Rapture films Left Behind: the Movie, Left Behind two: Tribulation Force, and Left Behind: World at War, in which he plays Cameron ""Buck"" Williams.
"
56,SBMT-SARI,"This was the area east of the mouth of the Vistula River, then sometimes known as ""Prussia proper"".
"
57,SBMT-SARI,"After graduation he went back to Yerevan to learn at the local Conservatory of Music and he was then named artistic director of the Armenian Philarmonic band.
"
58,SBMT-SARI,"The story of Christmas is based on the biblical accounts given in the Gospel of Matthew, that is - and the Gospel of Luke, thus....
"
59,SBMT-SARI,"Weelkes was later to find himself in trouble with the Chichester Cathedral powers for his heavy drinking and immoderate acts.
"
60,SBMT-SARI,"To date, the'star' events have included Vic Reeves, Nancy Sorrell, Gaby Roslin, Scott Mills, Mark Chapman, Simon Gregson, Sue Cleaver, Carol Thatcher, Paul O'Grady and Lee Ryan.
"
61,SBMT-SARI,"It was found out by Stephen P. Synnott in images from the Voyager 1 space probe made on March 5, 1979 while orbit around Jupiter.
"
62,SBMT-SARI,"Gomaespuma was a Spanish radio show, hosted by Juan Luis Cano and Guillermo Fesser.
"
63,SBMT-SARI,"On 16 June 2009, the official release date of the resistance was said on the band's web site.
"
64,SBMT-SARI,"He is also a member of another Jungiery boyband 183 Club.
"
65,SBMT-SARI,"The Apostolic Tradition, due to the theologian Hippolytus, attests the singing of Hallel psalms with Alleluia as the refrain in early Christian agape feasts.
"
66,SBMT-SARI,"In return, Rollo swore fealty to Charles, converted to Christianity, and set out to defend the north of France from the raids of other Viking groups.
"
67,SBMT-SARI,"It is based on Voice of America (VoA) Special English.
"
68,SBMT-SARI,"Disney won a full-size Oscar statue and seven the Mini, made to him by 10 year child actress Shirley Temple.
"
69,SBMT-SARI,"It was the first asteroid to be found by a ship.
"
